,precision,recall,f1-score,support
0,0.9808853118712274,0.9948979591836735,0.9878419452887538,980.0
1,0.9868766404199475,0.9938325991189427,0.990342405618964,1135.0
2,0.978702807357212,0.9796511627906976,0.9791767554479419,1032.0
3,0.992964824120603,0.9782178217821782,0.9855361596009975,1010.0
4,0.976,0.9938900203665988,0.9848637739656912,982.0
5,0.98,0.9887892376681614,0.984375,892.0
6,0.990506329113924,0.9801670146137788,0.9853095487932844,958.0
7,0.9731027857829011,0.9854085603112841,0.9792170130497825,1028.0
8,0.9823834196891191,0.973305954825462,0.9778236204228984,974.0
9,0.9887869520897044,0.9613478691774033,0.9748743718592965,1009.0
accuracy,0.983,0.983,0.983,0.983
macro avg,0.9830209070444639,0.9829508199838181,0.982936059404761,10000.0
weighted avg,0.9830662574576571,0.983,0.9829834480271171,10000.0
